"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"	"day"
"168"	"ENSMUSG00000026163"	"Sphkap"	0.989246585756764	"specific"	"FAPs"	1	0.285910062110223	"D0"
"169"	"ENSMUSG00000026179"	"Pnkd"	0.241301302979698	"housekeeping"	"ECs"	1	1.23094027993772	"D0"
"170"	"ENSMUSG00000026185"	"Igfbp5"	0.576955155852648	"intermediate"	"FAPs"	1	2.58146563547281	"D0"
"171"	"ENSMUSG00000026187"	"Xrcc5"	0.489274835173774	"housekeeping"	"sCs"	1	0.888863326453211	"D0"
"172"	"ENSMUSG00000026189"	"Pecr"	0.356325347272606	"housekeeping"	"FAPs"	1	0.535214590486146	"D0"
"173"	"ENSMUSG00000026192"	"Atic"	0.293495335510193	"housekeeping"	"sCs"	1	1.13057187264566	"D0"
"174"	"ENSMUSG00000026193"	"Fn1"	0.468698662675733	"housekeeping"	"FAPs"	1	2.58087261532427	"D0"
"175"	"ENSMUSG00000026196"	"Bard1"	0.752542727380093	"intermediate"	"sCs"	1	0.494494550576684	"D0"
"176"	"ENSMUSG00000026197"	"Zfand2b"	0.204426669114878	"housekeeping"	"FAPs"	1	0.809915604587834	"D0"
"177"	"ENSMUSG00000026199"	"Ankzf1"	0.233211152308378	"housekeeping"	"ECs"	1	0.783773153945066	"D0"
"178"	"ENSMUSG00000026200"	"Glb1l"	0.345064696286698	"housekeeping"	"FAPs"	1	0.936134017075654	"D0"
"179"	"ENSMUSG00000026202"	"Tuba4a"	0.362542627087376	"housekeeping"	"ECs"	1	1.01892795059891	"D0"
"180"	"ENSMUSG00000026204"	"Ptprn"	0.689390518805705	"intermediate"	"sCs"	1	0.253993601403997	"D0"
"181"	"ENSMUSG00000026207"	"Speg"	0.834873108386764	"specific"	"sCs"	1	1.01071906491736	"D0"
"182"	"ENSMUSG00000026208"	"Des"	0.807508175877314	"specific"	"sCs"	1	1.75517820184965	"D0"
"183"	"ENSMUSG00000026209"	"Dnpep"	0.249715880666196	"housekeeping"	"FAPs"	1	1.14740134009806	"D0"
