Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
Resolving-Mac,Glg1,Sele,MuSCs,3.0,1.0,3619.282197045327,0.1981241379339116,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,14155.842498529419,0.001459133627153097
MuSCs,Fgf23,Fgfr1,FAPs,3.0,1.0,4.409866546065929,0.4173801031985894,3.0,1.0,3187.9958981031605,0.6470092092945955,14058.63646004054,0.270048770545816
FAPs,Psap,Gpr37l1,Inflammatory-Mac,3.0,1.0,2885.608787937887,0.015697466333382818,2.0,0.6666666666666666,4.87017628543543,0.08099757974335738,14053.42348805917,0.001271456781106842
ECs,Bmp7,Bmpr2,MuSCs,2.0,0.6666666666666666,3.3524605866956763,0.2746838885507227,3.0,1.0,4167.49400365693,0.1657713432491558,13971.35939255042,0.045534717173954714
Inflammatory-Mac,Il17f,Il17ra,Neutrophils,2.0,0.6666666666666666,2.8370658891221736,0.0605778067860514,3.0,1.0,4922.587812103523,0.4662688271612777,13965.705967927459,0.02824554292213467
FAPs,Slit3,Robo2,Inflammatory-Mac,3.0,1.0,3730.5322646567297,0.8436651196967501,2.0,0.6666666666666666,3.623042415861094,0.051810229707478735,13515.87662858968,0.043710483647676164
MuSCs,Col3a1,Mag,FAPs,3.0,1.0,7452.647065871587,0.06729470197859456,1.0,0.3333333333333333,1.79985325335948,0.06471194041275055,13413.67106764896,0.004354770744532618
ECs,Cd34,Selp,FAPs,3.0,1.0,7736.0428962674,0.7040967968455678,2.0,0.6666666666666666,1.7205686495996668,0.0011360640022002868,13310.39287927589,0.0007998990249607785
Inflammatory-Mac,Sdc2,Ptprj,Neutrophils,3.0,1.0,5.754440001434325,0.001638724078741174,3.0,1.0,2287.1448938585368,0.1502935267999268,13161.23806629583,0.000246289621245972
MuSCs,Serping1,Sele,MuSCs,3.0,1.0,3335.4296760765833,0.3478380719875439,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,13045.630207560678,0.002561738478379783
Neutrophils,Ctf1,Il6st,ECs,1.0,0.3333333333333333,1.9787141421587062,0.0408159760366233,3.0,1.0,6482.2566717796935,0.2061630633016831,12826.53294955311,0.00841474665135835
