"gene"	"Young.FAPs.D0_1"	"Young.FAPs.D0_2"	"Young.FAPs.D0_3"	"Young.MuSCs.D0_2"	"Young.MuSCs.D0_1"	"Young.MuSCs.D0_3"	"Young.ECs.D0_2"	"Young.ECs.D0_1"	"Young.ECs.D0_3"
"ENSMUSG00000026175"	0.315143	0.452385	0.482886	0.62416	0.150382	0.217081	0	0.544967	0.890352
"ENSMUSG00000026179"	9.193697	6.839815	7.49383	11.46736	5.018192	7.039785	4.678099	28.850979	30.457632
"ENSMUSG00000026185"	460.91748	381.048676	313.598083	236.3405	113.07972	57.502857	0	7.292416	33.847553
"ENSMUSG00000026187"	4.619775	2.666529	3.994843	17.949093	2.855917	5.978788	3.196069	0.10261	1.20719
"ENSMUSG00000026188"	0	0	0	0.511729	0	0	0	0	0
"ENSMUSG00000026189"	1.436144	3.118836	3.201043	3.28837	1.108778	3.212079	0.88667	0.289707	0.469175
"ENSMUSG00000026192"	8.814463	9.922095	12.291306	11.821646	4.256516	38.88385	2.571607	1.280615	4.861631
"ENSMUSG00000026193"	301.705811	409.74585	443.70575	43.105835	22.167715	19.777887	21.738726	9.079985	34.730595
"ENSMUSG00000026196"	0.531152	0.171697	0.215328	3.35568	0.407925	6.984694	0.268912	0.188391	1.113922
"ENSMUSG00000026197"	5.569745	5.401948	5.395942	3.03836	2.710812	2.013299	10.366167	3.624825	2.386447
"ENSMUSG00000026199"	3.755083	2.930676	4.674365	2.748174	2.207616	2.204765	8.32534	2.987397	5.265358
"ENSMUSG00000026200"	11.225778	5.8945	6.719366	4.194376	1.996125	2.813164	4.977824	1.881025	4.029876
"ENSMUSG00000026202"	1.471217	3.398577	2.585388	2.574147	2.542051	18.517212	33.280796	7.378212	3.43183
"ENSMUSG00000026204"	0.66862	0.275013	0.450745	0.510449	0.485544	2.025072	0	0	0.199715
"ENSMUSG00000026207"	0.377815	1.640191	2.190146	17.487017	12.847973	3.522564	0	0.194483	0.539072
"ENSMUSG00000026208"	2.653009	3.904333	3.126416	89.619537	50.406857	38.685165	0	3.057664	6.036798
