"gene"	"Old.Resolving-Mac.D4_2"	"Old.Inflammatory-Mac.D4_3"	"Old.Resolving-Mac.D4_3"	"Old.Inflammatory-Mac.D4_2"	"Old.Inflammatory-Mac.D4_1"	"Old.Resolving-Mac.D4_1"	"Old.FAPs.D4_1"	"Old.FAPs.D4_2"	"Old.FAPs.D4_3"	"Old.MuSCs.D4_2"	"Old.MuSCs.D4_1"	"Old.ECs.D4_1"	"Old.ECs.D4_3"	"Old.ECs.D4_2"
"ENSMUSG00000025979"	22.259357	7.461183	24.716259	14.853398	22.6285	11.684054	15.0611	7.564896	15.627947	29.09469	15.29721	12.865479	16.330713	15.973592
"ENSMUSG00000025981"	65.269348	14.011724	54.790775	45.798653	93.422737	44.874645	28.922747	13.211864	28.158112	32.100178	34.05661	10.490192	19.183176	25.221367
"ENSMUSG00000025982"	151.672699	32.951694	107.821327	90.621674	178.912476	84.45092	79.668922	35.375835	75.434814	74.592888	65.542442	35.789577	84.147224	75.38929
"ENSMUSG00000025983"	0	0	0	0.181384	0.272014	0.280938	0.414696	0.143863	0.524859	0.20271	0.101311	0.073465	0.275341	0
"ENSMUSG00000025995"	6.396405	2.355523	4.963669	5.497564	6.085671	4.033077	16.555199	6.673357	15.92554	18.998941	8.787259	3.339905	4.57995	14.941578
"ENSMUSG00000025997"	0.340956	0.30337	0	2.303453	0.819326	1.606804	3.931908	1.418848	4.266073	1.789799	1.229795	0	0.021954	0
"ENSMUSG00000026000"	0.899415	0.541253	1.095758	2.024088	2.117574	1.707221	3.880404	1.128921	3.223678	2.204711	2.56068	0.780596	1.754061	1.584231
"ENSMUSG00000026003"	10.292673	9.093688	14.518386	17.699028	23.576651	14.104864	22.70908	10.307622	23.689438	25.474951	10.368489	5.552704	14.740043	14.195741
"ENSMUSG00000026004"	65.380333	12.146279	43.460384	36.800117	54.257065	30.337629	25.961313	7.964578	24.68214	19.598997	19.226522	11.24309	20.918913	13.808553
"ENSMUSG00000026011"	0	0	0	1.114378	0	0.596782	0	0	0	0	0	0	0	0
"ENSMUSG00000026020"	11.44027	2.595659	9.16666	11.817145	17.213774	5.607743	36.582592	22.022421	51.090405	38.026985	30.275654	6.431146	27.414101	29.227745
"ENSMUSG00000026023"	0	0.028641	0.068974	0.445427	0	0	0	0.121474	0.389964	0.202919	3.069379	0.025544	0	0
"ENSMUSG00000026024"	4.66285	2.524908	5.09773	5.023502	9.049656	3.843694	3.00124	1.164377	3.761248	3.589833	2.439048	3.088394	5.567314	5.289054
"ENSMUSG00000026028"	13.950832	5.343852	11.586995	10.199757	13.042759	10.259407	10.149281	6.428972	13.962604	16.394133	11.520285	8.03351	15.77415	22.972042
"ENSMUSG00000026029"	41.064194	9.100062	31.90773	21.106443	45.421761	23.012156	13.027611	5.363544	14.867339	6.455575	1.484528	7.552021	23.25058	20.424431
"ENSMUSG00000026032"	10.149891	6.6007	11.164598	11.085671	15.94337	9.417003	9.485375	4.340291	10.577258	13.89931	3.905364	3.613364	6.088797	6.00803
