"gene"	"Young.Resolving-Mac.D2_2"	"Young.Resolving-Mac.D2_3"	"Young.Inflammatory-Mac.D2_3"	"Young.Resolving-Mac.D2_1"	"Young.Inflammatory-Mac.D2_1"	"Young.Inflammatory-Mac.D2_2"	"Young.FAPs.D2_1"	"Young.FAPs.D2_2"	"Young.FAPs.D2_3"	"Young.MuSCs.D2_1"	"Young.MuSCs.D2_2"	"Young.MuSCs.D2_3"	"Young.ECs.D2_1"	"Young.Neutrophils.D2_1"	"Young.ECs.D2_2"	"Young.Neutrophils.D2_2"	"Young.Neutrophils.D2_3"	"Young.ECs.D2_3"
"ENSMUSG00000015092"	26.526272	31.624908	36.002449	26.347664	36.839191	18.092724	52.143414	46.231274	56.665573	15.118183	23.869995	24.946903	24.127935	23.267405	10.786868	33.517334	25.0716	4.293356
"ENSMUSG00000015093"	0	0.487497	0	0.070158	0.306982	0	0	0.811949	0.496142	0	1.496745	0	0	0	0.147777	1.559579	0.286261	0.137322
"ENSMUSG00000015094"	0	0.942447	0.175368	0	0	0	27.709955	43.404438	38.824055	4.849134	16.987051	22.433657	29.331329	0	15.506141	0.247731	0.29834	4.354054
"ENSMUSG00000015095"	9.513502	9.684531	8.741903	8.101499	6.259953	4.633568	8.095355	8.684046	7.574523	3.017737	8.051013	9.332711	8.037273	4.144657	3.517991	4.1875	4.58176	1.521959
"ENSMUSG00000015222"	0	0.173009	0	0.061699	0	0.006212	2.986091	6.141846	2.321935	8.311633	72.662361	63.900299	0.568899	0	0.480013	0	0	0.201282
"ENSMUSG00000015314"	2.983113	2.276315	2.967068	3.987829	2.262496	1.352824	0	0.030863	0	0.000619	0	0	0.026679	0.779332	0	0.622872	0.375803	0.00833
"ENSMUSG00000015316"	0	0	0.495432	0.412738	0	0	0	0	0	0	0	0	0.00995	0	0	0.198961	0.138613	0.006342
"ENSMUSG00000015335"	1.694572	1.583416	4.184684	1.523351	2.944704	1.284853	1.236672	2.412019	2.657573	1.791821	1.64533	2.130102	4.246591	0	1.722204	0.795609	0.722476	0.875585
"ENSMUSG00000015355"	154.712601	148.106583	126.278893	100.694046	153.414215	48.13821	0	0	0	0.01809	0.289013	0	0	33.162693	0.095658	42.194504	28.962534	0.038629
"ENSMUSG00000015488"	10.35103	7.926706	10.637177	6.724471	12.012459	2.175855	7.397926	13.132122	9.603311	1.820034	7.107317	9.180161	3.626387	24.617851	1.83925	26.86841	97.08429	0.994189
"ENSMUSG00000015619"	0	0	0	0.295285	0	0	0	0	0.214882	0.037785	0.280066	0.333399	0	0	1.33524	0	0	0.499051
"ENSMUSG00000015790"	16.475449	21.851185	16.18104	14.221368	8.37494	8.163119	10.957374	14.677067	13.103271	4.279573	10.286929	15.658098	17.203199	6.174932	7.127786	6.061923	8.253298	4.682447
"ENSMUSG00000015829"	0	0	0	0	0	0.00136	0.016184	0.029818	0.010456	0	0.010105	0	0	0	0.023761	0.088043	0.007958	0.002397
"ENSMUSG00000015846"	9.145577	11.651477	15.93367	11.744135	9.164441	6.288656	8.072792	9.140038	9.488272	2.635898	6.234777	6.976338	7.323841	3.194577	5.186576	2.983167	3.047617	2.237338
"ENSMUSG00000015962"	0	0	0	0	1.094089	0	0	0.913743	0	0.468813	1.063022	0	0	0.582787	0.022927	0.554854	0	0
"ENSMUSG00000016179"	0	0	0	0	0	0	0	0	0	0	0.67039	0.847749	0	0	0	0	0	0
"ENSMUSG00000016181"	1.91258	2.312709	1.92235	1.059979	1.919788	1.01053	4.045688	3.223118	4.379481	2.382008	6.508974	7.026197	2.806873	1.026731	1.490561	1.598095	1.562123	0.419763
"ENSMUSG00000016194"	0.282001	0.716818	0	0.696379	1.82614	0	5.802667	4.797871	5.234603	0.369749	0.870937	0.73389	0	3.693342	0	5.312993	5.948805	0
"ENSMUSG00000016200"	0	0	0	0	0	0	0	0.06423	0	0.183575	1.131562	0.649584	0	0	0	0	0	0
"ENSMUSG00000016262"	0	0	0	0	0	0	5.650971	6.290905	6.074087	1.980679	10.154308	10.029492	0.587747	0	0	0	0	0
"ENSMUSG00000016493"	0	0.483434	0.77918	1.253372	0.306197	0.286008	0.992639	0.768101	0	0.429684	1.771733	2.09866	4.634851	9.107704	4.978977	16.420015	20.487164	1.567255
"ENSMUSG00000016494"	0.643973	0.552307	0.21883	0.251308	0.360813	0.099066	58.807732	76.992111	80.267502	7.471445	4.455101	13.151676	284.890289	0.803731	76.467384	1.056856	2.13132	26.451656
"ENSMUSG00000016524"	0	0	0	0	0	0	0	0	0.204435	0	0	0	0	0	0	0	0	0
"ENSMUSG00000016526"	0	0.43059	0	0	0	0.251149	0	0.256814	0	0.586766	0	0	0	1.00924	0	1.837353	1.145852	0
"ENSMUSG00000016529"	16.527775	19.428881	16.548687	16.118368	18.175964	7.450108	2.744029	4.197944	3.544111	0.500124	0.648105	1.329983	1.563125	50.616234	0	83.475441	59.077374	0
"ENSMUSG00000016918"	0	0	0	0.038575	0	0	46.658508	64.776352	51.808311	6.451901	50.527889	41.397747	9.598296	0	4.567411	0	0	1.856588
"ENSMUSG00000017418"	35.221798	38.323856	22.418978	44.055202	26.266905	10.528273	9.878757	11.898787	10.896727	4.030127	15.543621	18.956532	15.159061	30.232847	14.023877	31.645592	32.977741	3.936974
"ENSMUSG00000018196"	4.067595	2.516752	2.607456	2.762986	3.388458	1.47123	3.512598	3.858116	2.139748	1.352199	5.09072	6.854332	3.508462	3.700496	2.373267	4.954893	4.732937	0.939107
"ENSMUSG00000018199"	2.469541	2.897007	3.564767	3.248506	1.675385	1.777986	7.189945	6.916688	8.077396	2.79985	6.233789	8.017771	9.888841	3.758313	5.263392	4.203503	3.943383	1.847391
"ENSMUSG00000018417"	0.258617	0.429012	0	0.703744	0.416348	0.071808	15.481104	20.323458	19.299009	23.875906	27.333694	52.851425	55.294651	0.245859	35.783077	0.68489	0.179433	11.882432
"ENSMUSG00000019230"	0.052478	0.123716	0	0	0	0	0.035042	0.345188	0	0.049382	0.184115	0.048145	0.088948	0	0	0.004389	0	0.027846
"ENSMUSG00000019699"	12.456731	17.188066	10.150034	8.777053	11.060705	3.145937	10.099652	10.319944	10.291251	4.239164	14.244892	17.476662	23.553778	3.282066	17.753132	4.943082	8.759603	6.708109
"ENSMUSG00000022591"	0	0	0.01026	0.386752	0	0.041173	0	0	0	0	0	0	1.074995	0	0.211787	0	0	0
"ENSMUSG00000022995"	0.593244	0.566346	0.410448	0.530217	0.422673	0.036494	18.179562	26.354397	21.310932	7.632302	39.258232	38.851051	17.550747	0.425358	21.056105	1.085104	1.246948	8.213971
"ENSMUSG00000023094"	0.232105	0.670022	0.527423	2.218688	0.620482	0.651691	2.000162	2.567449	2.883129	0.212857	0.799959	1.749208	0.640512	1.571149	0.878056	3.476157	1.540629	0.547533
"ENSMUSG00000023150"	95.821747	114.227821	80.930885	71.620117	65.301079	30.861193	30.900629	39.087811	36.946373	34.202053	78.919617	94.045639	45.167477	63.835194	21.394588	75.083954	71.158333	6.646468
"ENSMUSG00000023206"	5.390669	6.022378	4.156393	3.380569	3.986134	0.940326	5.97283	9.595338	7.583512	2.097215	1.486237	3.779386	5.203192	1.331159	4.886042	3.050278	2.280321	1.862642
"ENSMUSG00000025776"	0	0	0	0	0	0	0.460523	0.388703	0.696408	0.134696	0.138079	0.845459	0.689039	0	1.808107	0	0	0.799246
"ENSMUSG00000025779"	25.559443	25.177986	30.366539	18.787594	36.632805	12.371327	6.070413	6.307688	5.108511	1.456797	2.847821	4.463729	12.454843	16.56164	2.089722	24.074337	24.845579	1.305091
"ENSMUSG00000025780"	0	0	0	0	0	0.024494	9.58742	14.308228	11.909129	1.86475	31.472242	40.129337	3.248318	1.204252	1.22611	3.673369	1.446966	0.526739
"ENSMUSG00000025781"	117.162994	116.205276	116.776825	84.297218	132.237747	46.796417	112.526604	117.23687	124.305634	51.344093	105.393929	126.393318	64.250961	50.726082	25.216593	72.269043	70.145966	9.145498
"ENSMUSG00000025782"	5.875979	6.687026	4.350246	3.401602	5.686562	1.863311	3.592834	3.523969	4.841277	1.995685	3.913072	3.942088	5.657788	3.935138	3.4152	6.407037	6.237463	1.319632
"ENSMUSG00000025815"	0.12695	0.08955	0.018858	0.855127	0	0.060906	0.166826	0.675091	0.638533	0.195803	2.787806	1.9356	0	0	0	0.125679	0.199944	0
"ENSMUSG00000025816"	5.286598	7.851969	4.435607	8.36337	11.258415	3.47916	5.607082	14.986564	10.922285	7.441434	17.276457	21.451664	8.86988	4.882476	3.841522	6.600539	2.715684	2.043409
"ENSMUSG00000025817"	4.886214	6.180544	6.543525	8.097045	9.051694	2.763128	10.389633	15.991791	16.008518	6.748965	10.374076	12.243548	11.596062	3.961918	4.487678	8.933393	5.802875	1.29504
"ENSMUSG00000025900"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025902"	0	0	0	0	0	0	0	0	0	0	0.038313	0.258435	61.443718	0.558266	34.667679	0	0	12.257081
"ENSMUSG00000025903"	36.08062	31.382998	28.293821	19.415154	42.30862	14.176199	31.895109	34.062496	31.737354	14.538978	17.87739	22.32534	43.483051	28.040848	15.93014	38.735161	32.750351	6.575117
"ENSMUSG00000025905"	0	0	0	0	0	0	0	0	0	0	0	0.000261	0	0	0	0	0	0
"ENSMUSG00000025909"	0	0	0	0	0	0	0	0	0.018142	0	0	0.036747	0.001032	0	0	0	0	0.000835
"ENSMUSG00000025911"	0.253736	0.063086	0	0.265074	0	0.213398	0.356223	0.694373	0.609582	0.193225	0.351314	0.333928	2.111348	0.760998	2.546331	1.393369	0.625106	0.562126
"ENSMUSG00000025912"	1.627144	0.97424	0.529318	0.720113	0.518725	0.706805	3.805592	3.357504	5.025379	3.62492	2.687055	5.060078	2.884939	0.732281	0.439644	1.028127	0.664986	0.193127
"ENSMUSG00000025915"	64.366661	60.262234	40.476383	26.540388	60.894497	11.926042	3.579312	5.839064	2.687458	1.01194	3.405093	4.290236	10.74431	28.688873	5.257093	46.44759	46.850803	1.888375
"ENSMUSG00000025917"	17.266312	18.934975	23.959883	12.987693	29.574045	8.849563	25.822186	34.673622	39.293827	10.602129	17.855467	22.943872	20.943827	10.640543	7.666856	16.380941	12.576181	2.318263
"ENSMUSG00000025921"	2.248606	1.135518	2.317682	1.527066	2.010961	0.790666	10.882651	13.940364	9.904911	4.425814	2.342072	4.542472	3.165345	2.667596	0.997171	3.769683	4.049632	0.417813
