"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"
"128"	"ENSMUSG00000026000"	"Lancl1"	0.303348630076648	"housekeeping"	"FAPs.D7"	1	0.623066053011411
"129"	"ENSMUSG00000026003"	"Acadl"	0.121631208551927	"housekeeping"	"M2.D2"	1	1.29427520015042
"130"	"ENSMUSG00000026004"	"Kansl1l"	0.235535939719944	"housekeeping"	"M2.D2"	1	1.69298811747856
"131"	"ENSMUSG00000026020"	"Nop58"	0.385032626963657	"housekeeping"	"FAPs.D7"	1	1.90732274743342
"132"	"ENSMUSG00000026023"	"Cdk15"	0.911325112622494	"specific"	"sCs.D0"	1	0.606563414352591
"133"	"ENSMUSG00000026024"	"Als2"	0.22498785964208	"housekeeping"	"M1.D2"	1	0.821356061893535
"134"	"ENSMUSG00000026028"	"Trak2"	0.133769040754904	"housekeeping"	"ECs.D7"	1	1.21183464445957
"135"	"ENSMUSG00000026029"	"Casp8"	0.338743607213225	"housekeeping"	"M2.D4"	1	1.50683940314314
"136"	"ENSMUSG00000026032"	"Ndufb3"	0.204682789931421	"housekeeping"	"M2.D2"	1	1.12020094195843
"137"	"ENSMUSG00000026036"	"Nif3l1"	0.177714191689125	"housekeeping"	"FAPs.D2"	1	0.588370108546136
"138"	"ENSMUSG00000026037"	"Orc2"	0.248621274216184	"housekeeping"	"FAPs.D2"	1	0.867475526014877
"139"	"ENSMUSG00000026039"	"Sgo2a"	0.580436824601538	"intermediate"	"FAPs.D2"	1	0.823586946737783
"140"	"ENSMUSG00000026042"	"Col5a2"	0.671692438743529	"intermediate"	"FAPs.D7"	1	2.7577824219659
"141"	"ENSMUSG00000026043"	"Col3a1"	0.657605093930957	"intermediate"	"FAPs.D7"	1	3.69373853436663
"142"	"ENSMUSG00000026047"	"Poglut2"	0.365207866490659	"housekeeping"	"FAPs.D7"	1	1.18551607927424
"143"	"ENSMUSG00000026049"	"Tex30"	0.260556081975585	"housekeeping"	"FAPs.D2"	1	0.950404022949307
"144"	"ENSMUSG00000026062"	"Slc9a2"	0.860085249473399	"specific"	"sCs.D0"	1	0.27785723668866
"145"	"ENSMUSG00000026072"	"Il1r1"	0.576525716755845	"intermediate"	"FAPs.D4"	1	1.95045788139344
"146"	"ENSMUSG00000026074"	"Map4k4"	0.141567035519715	"housekeeping"	"FAPs.D7"	1	1.79732025956945
"147"	"ENSMUSG00000026078"	"Pdcl3"	0.223756366609798	"housekeeping"	"FAPs.D7"	1	0.94331631616441
"148"	"ENSMUSG00000026080"	"Chst10"	0.870724673388141	"specific"	"FAPs.D0"	1	0.418030783911449
"149"	"ENSMUSG00000026082"	"Rev1"	0.240048793306762	"housekeeping"	"FAPs.D0"	1	1.19062722688166
"150"	"ENSMUSG00000026083"	"Eif5b"	0.166842358324474	"housekeeping"	"M2.D4"	1	1.34748503660478
"151"	"ENSMUSG00000026087"	"Mrpl30"	0.245872336584469	"housekeeping"	"FAPs.D7"	1	1.43376913700527
"152"	"ENSMUSG00000026088"	"Mitd1"	0.241976285546346	"housekeeping"	"ECs.D0"	1	1.15040038577962
"153"	"ENSMUSG00000026090"	"2010300C02Rik"	0.841267420961277	"specific"	"ECs.D2"	1	0.186049101542325
"154"	"ENSMUSG00000026094"	"Stk17b"	0.417135021721839	"housekeeping"	"M2.D4"	1	1.92737990128865
"155"	"ENSMUSG00000026095"	"Asnsd1"	0.229830240714708	"housekeeping"	"M1.D2"	1	1.2283421130677
"156"	"ENSMUSG00000026096"	"Osgepl1"	0.35074636389909	"housekeeping"	"FAPs.D0"	1	0.851109495790248
"157"	"ENSMUSG00000026097"	"Ormdl1"	0.395371131910967	"housekeeping"	"M2.D2"	1	0.883091804705126
"158"	"ENSMUSG00000026107"	"Nabp1"	0.285295402164509	"housekeeping"	"ECs.D0"	1	1.93293279407861
"159"	"ENSMUSG00000026109"	"Tmeff2"	0.72265941298896	"intermediate"	"FAPs.D0"	1	1.15059964781199
"160"	"ENSMUSG00000026110"	"Mgat4a"	0.316685007732842	"housekeeping"	"ECs.D7"	1	1.56368936950322
"161"	"ENSMUSG00000026111"	"Unc50"	0.196084005170248	"housekeeping"	"FAPs.D7"	1	1.31591209050941
