Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
MuSCs,Thbs1,Sdc1,ECs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,0.2799683333333333,0.839905,0.0294305463214559,0.0294305463214559,9.136493029271668,0.01090221051546525,82.22843726344502,0.01090221051546525
MuSCs,Thbs1,Sdc1,FAPs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,2.365790333333333,7.097371,0.2486942046732164,0.2486942046732163,77.20525615117768,0.0921259341810778,694.8473053605991,0.09212593418107778
MuSCs,Thbs1,Sdc1,MuSCs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,6.86709,20.60127,0.7218752490053277,0.7218752490053277,224.1007730030701,0.2674104600233823,2016.90695702763,0.2674104600233823
ECs,Thbs1,Itga6,ECs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,133.3951123333333,400.185337,0.8984588679103155,0.8984588679103156,363.8330790324068,0.02781673087230691,3274.497711291661,0.02781673087230691
ECs,Thbs1,Itga6,FAPs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,2.340788333333334,7.022365000000001,0.01576596023045448,0.01576596023045448,6.384463506816112,0.0004881219255969578,57.46017156134501,0.000488121925596958
ECs,Thbs1,Itga6,MuSCs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,12.735128,38.205384,0.08577517185923002,0.08577517185923003,34.73486210299467,0.002655641739820018,312.613758926952,0.002655641739820019
FAPs,Thbs1,Itga6,ECs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,133.3951123333333,400.185337,0.8984588679103155,0.8984588679103156,7034.474483710005,0.5378182876110675,63310.27035339003,0.5378182876110676
FAPs,Thbs1,Itga6,FAPs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,2.340788333333334,7.022365000000001,0.01576596023045448,0.01576596023045448,123.4394237882789,0.00943751799501813,1110.95481409451,0.009437517995018132
FAPs,Thbs1,Itga6,MuSCs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,12.735128,38.205384,0.08577517185923002,0.08577517185923003,671.5758275979574,0.05134509513626502,6044.182448381616,0.05134509513626503
MuSCs,Thbs1,Itga6,ECs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,133.3951123333333,400.185337,0.8984588679103155,0.8984588679103156,4353.219163973585,0.3328238494269409,39178.97247576226,0.332823849426941
MuSCs,Thbs1,Itga6,FAPs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,2.340788333333334,7.022365000000001,0.01576596023045448,0.01576596023045448,76.3893403081317,0.005840320309839388,687.5040627731852,0.00584032030983939
MuSCs,Thbs1,Itga6,MuSCs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,12.735128,38.205384,0.08577517185923002,0.08577517185923003,415.5984600599441,0.03177443498314497,3740.386140539497,0.03177443498314497
ECs,Thbs1,Itga3,ECs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,2.731629,8.194887,0.5547800938501829,0.554780093850183,7.450475301979,0.01717626606528653,67.054277717811,0.01717626606528654
ECs,Thbs1,Itga3,FAPs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,2,0.6666666666666666,0.06813733333333333,0.204412,0.01383834927121065,0.01383834927121065,0.1858435091817778,0.0004284421370224324,1.672591582636,0.0004284421370224325
