Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Inflammatory-Mac,Cfh,Itgam,Inflammatory-Mac,1.0,21.686232,0.1957029264426257,1.0,71.625121,0.3444588990740914,1553.2789910340719,0.06741161458800475
Inflammatory-Mac,Cfh,Itgam,Resolving-Mac,1.0,21.686232,0.1957029264426257,1.0,135.0220616666667,0.6493469059886695,2928.11975442164,0.1270790897784472
MuSCs,Cfh,Itgam,FAPs,1.0,14.803573499999999,0.1335917948197964,1.0,0.96363,0.004634280881909668,14.265167531805,0.0006191019007133816
MuSCs,Cfh,Itgam,Inflammatory-Mac,1.0,14.803573499999999,0.1335917948197964,1.0,71.625121,0.3444588990740914,1060.307743169893,0.046016882568958986
MuSCs,Cfh,Itgam,Resolving-Mac,1.0,14.803573499999999,0.1335917948197964,1.0,135.0220616666667,0.6493469059886695,1998.809014004032,0.08674741863170797
Resolving-Mac,Cfh,Itgam,FAPs,1.0,30.48803466666666,0.2751329786452017,1.0,0.96363,0.004634280881909668,29.379184845839987,0.001275043502918319
Resolving-Mac,Cfh,Itgam,Inflammatory-Mac,1.0,30.48803466666666,0.2751329786452017,1.0,71.625121,0.3444588990740914,2183.709172052194,0.09477200292310167
Resolving-Mac,Cfh,Itgam,Resolving-Mac,1.0,30.48803466666666,0.2751329786452017,1.0,135.0220616666667,0.6493469059886695,4116.557296858137,0.1786567484187084
ECs,Cfh,Sell,ECs,1.0,0.6718046666666666,0.006062562609515538,1.0,0.14671900000000002,0.002213357657235064,0.09856650888866668,1.341861937423821e-05
ECs,Cfh,Sell,Inflammatory-Mac,1.0,0.6718046666666666,0.006062562609515538,1.0,28.93198366666667,0.4364589970461662,19.43664164319044,0.00264605999607874
ECs,Cfh,Sell,Resolving-Mac,1.0,0.6718046666666666,0.006062562609515538,0.6666666666666666,37.20927366666667,0.5613276452965987,24.997363692543782,0.00340308399406256
FAPs,Cfh,Sell,ECs,1.0,43.16235166666667,0.3895097374828606,1.0,0.14671900000000002,0.002213357657235064,6.332737074181668,0.0008621243600253091
